Comune;Provincia;Tipologia;Categoria;Denominazione;Indirizzo;Località;CAP;Sigla provincia;Codice ISTAT del comune;Telefono 1;Telefono 2;FAX;Sito internet;Indirizzo posta elettronica;Anno di riferimento;Longitudine;Latitudine
BESENZONE;PIACENZA;Agriturismo;4 margherite;AGRITURISMO LE COLOMBAIE;Località Bersano 36;;29010;PC;33003;0523 830007;;0523 830735;www.colombaie.it;monica.saviola@libero.it;2016;9.67613;44.92456
BETTOLA;PIACENZA;Agriturismo;;AGRITURISMO ARCA DEL PERO CAPPELLINO;Loc. Costa;Groppo Ducale;29021;PC;33004;0523 595625;;;;;2016;;
BETTOLA;PIACENZA;Agriturismo;;AGRITURISMO CA' SONINO;Loc. Cà Sonino;;29021;PC;33004;0523 916424;;;;agriturismocasonino@libero.it;2016;;
BETTOLA;PIACENZA;Agriturismo;;AGRITURISMO I BARBUGLI;Loc. Barbugli;;29021;PC;33004;0523 911103;;;;eletag@alice.it;2016;;
BETTOLA;PIACENZA;Agriturismo;;AGRITURISMO IL CASTAGNO;LOCALITA' COSTA GROPPO DUCALE;;29021;PC;33004;0523 917341;;;www.aziendaagrituristicailcastagno.it;;2016;9.608545;44.779764
BETTOLA;PIACENZA;Agriturismo;;AGRITURISMO LA TORRE DEI CAVALIERI;Località La Spessa di Padri;;29021;PC;33004;0523 911744;;0523 911744;;e.treco@libero.it;2016;9.678242;44.826317
BETTOLA;PIACENZA;Agriturismo;;AGRITURISMO LE CASCATE;Loc. Calenzano Fondo;;29021;PC;33004;0523 913501;;;www.agriturismolecascate.it;aziendaagricolamontegelato@gmail.com;2016;9.6058831;44.7765234
BETTOLA;PIACENZA;Agriturismo;;AGRITURISMO POGGIO D'INCANTO;POGGIO DI SOPRA DI SAN BERNARDINO;Poggio Sopra - San Bernardino;29021;PC;33004;0523 1998279;;;;;2016;9.6055235;44.7762867
BETTOLA;PIACENZA;Agriturismo;;AGRITURISMO VILLA ENRICHETTA;BARBARONI, 1;Roncovero;29021;PC;33004;0523 911397;;0523 911397;www.villaenrichetta.it;info@villaenrichetta.it;2016;9.6314313;44.7343633
BETTOLA;PIACENZA;Albergo;2 stelle;HOTEL LA VECCHIA QUERCIA;Località Fra i Luoghi;;29021;PC;33004;0523 911233;;0523 917937;;info@albergolavecchiaquercia.it;2016;9.611362;44.77167
BETTOLA;PIACENZA;Bed & Breakfast;;B&B MONTE OSERO;LOC. MONTOSERO, 6;Montosero;29021;PC;33004;328 2514821;;;www.monteosero.it;info@monteosero.it;2016;9.553018;44.76319
BOBBIO;PIACENZA;Affittacamere;;LOCANDA IL VECCHIO MULINO;Via Genova , 32;;29022;PC;33005;0523 932395;;;;;2016;9.3818222;44.7579594
BOBBIO;PIACENZA;Agriturismo;;AGRITURISMO CA' DEL SARTU';Loc. Case Gerbidi, 1;Mezzano Scotti;29022;PC;33005;0523 932202;;;;info@cadelsartu.it;2016;9.3859502;44.7700875
BOBBIO;PIACENZA;Agriturismo;;AGRITURISMO I CICLAMINI;VIA CARACCIOLO, 6;Mezzano Scotti;29022;PC;33005;0523 452365;;;;follinlu@simail.it;2016;9.3859502;44.7700875
BOBBIO;PIACENZA;Agriturismo;;AGRITURISMO IL CARLONE;Loc. San Martino;San Martino;29022;PC;33005;0523 960236;;;agriturismoilcarlone.it;info@agriturismoilcarlone.it;2016;9.3859502;44.7700875
BOBBIO;PIACENZA;Agriturismo;;AGRITURISMO LE GINESTRE;Località Lago Bisione, 2;;29022;PC;33005;338 1493200;;;;danilo.bellocchio@alice.it;2016;9.3859502;44.7700875
BOBBIO;PIACENZA;Agriturismo;;AGRITURISMO SAN MARTINO;Località San Martino 5;;29022;PC;33005;0523 936986;;0523 936986;www.agriturismo-sanmartino.com;agrisanmartino@gmail.com;2016;9.3910067;44.7909883
BOBBIO;PIACENZA;Agriturismo;4 margherite;AGRITURISMO CASCINA MORINA;Località Morina 1;;29022;PC;33005;0523 936204;;0523 936204;www.agriturismo-cascinamorina.com;info@agriturismo-cascinamorina.com;2016;9.39416;44.78479
BOBBIO;PIACENZA;Agriturismo;4 margherite;AGRITURISMO LE MOGLIAZZE;VIA MOGLIAZZE;Mogliazze;29022;PC;33005;0523 936633;;0523 936633;www.mogliazze.it;info@mogliazze.it;2016;9.3859502;44.7700875
BOBBIO;PIACENZA;Albergo;2 stelle;GIARDINO;Piazza San Francesco, 12;;29022;PC;33005;0523 936247;;0523 936247;www.albergobargiardino.it;info@albergobargiardino.it;2016;9.3860322;44.7697873
BOBBIO;PIACENZA;Albergo;2 stelle;HOTEL CHALET DELLA VOLPE;Località Sassi Neri;Sassi Neri;29022;PC;33005;0523 933404;;;;;2016;9.351746;44.8057141
BOBBIO;PIACENZA;Albergo;3 stelle;FILIETTO;Località Costa Tamborlani, 1;Mezzano Scotti;29022;PC;33005;0523 937104;;0523 937613;www.filietto.it;info@filietto.it;2016;9.38602;44.76999
BOBBIO;PIACENZA;Albergo;3 stelle;HOTEL CACCIATORI;Contrada Porta Agazza, 7;;29022;PC;33005;0523 936267;;0523 936267;www.albergoristorantecacciatori.it;albergoristorantecacciatori@gmail.com;2016;9.387455;44.767521
BOBBIO;PIACENZA;Albergo;3 stelle;HOTEL PIACENTINO;Piazza San Francesco, 19 A;;29022;PC;33005;0523 936266;;0523 936563;www.hotelpiacentino.it;info@hotelpiacentino.it;2016;9.3870173;44.7691012
BOBBIO;PIACENZA;Albergo;3 stelle;HOTEL RIDELLA;Via Giarrone, 13;Santa Maria;29022;PC;33005;0523 933130;;0523 933311;;albergoristoranteridella@virgilio.it;2016;9.385985;44.768999
BOBBIO;PIACENZA;Albergo;3 stelle sup.;DA RANELLA;Via Roma, 6;Mezzano Scotti;29022;PC;33005;0523 937126;;0523 937126;www.ristorantedaranella.it;daranella@libero.it;2016;9.427772;44.808322
BOBBIO;PIACENZA;Bed & Breakfast;;B&B A CASA DI ELE;Via dei Donati, 3;;29022;PC;33005;328 7548349;;;www.acasadiele.com;info@acasadiele.com;2016;9.3869041;44.7668291
BOBBIO;PIACENZA;Bed & Breakfast;;B&B AL MUSEO;Località Callegari 11;Callegari;29022;PC;33005;0523 937705;;;www.bedandbreakfastalmuseo.it;museoetnografico@libero.it;2016;9.3910067;44.7909883
BOBBIO;PIACENZA;Bed & Breakfast;;B&B ALTARELLI;Loc. Altarelli, 9;;29022;PC;33005;0523 937212;;0523 937212;www.alloggio-altarelli-b-e-b.it;io_esmeralda@hotmail.com;2016;9.3859502;44.7700875
BOBBIO;PIACENZA;Bed & Breakfast;;B&B BUONGIORNO NOTTE;Piazza San Francesco, 12;;29022;PC;33005;0523 963041;;;www.buongiononotte.it;barbara72.felici@libero.it;2016;9.386482;44.768968
BOBBIO;PIACENZA;Bed & Breakfast;;B&B CAMPOFRATI;Via Campo Frati , 3;Mezzano Scotti;29022;PC;33005;0523 937201;;0523 937201;www.campofrati.it;info@campofrati.it;2016;9.4099746;44.7858038
BOBBIO;PIACENZA;Bed & Breakfast;;B&B CASA BERBERA;LOC. BOCCHE, 21;;29022;PC;33005;339 3882515;;;www.bebcasaberbera.com;labaraka@libero.it;2016;9.440538;44.834231
BOBBIO;PIACENZA;Bed & Breakfast;;B&B DON ARISTIDE CONTI;Piazza San Paolo 2;Mezzano Scotti;29022;PC;33005;0523 937125;;0523 937125;;cisco.gandolfi@gmail.com;2016;9.4296552;44.8086923
BOBBIO;PIACENZA;Bed & Breakfast;;B&B IL PERO SELVATICO;Loc. Cascina Brusini Sotto, 1;;29022;PC;33005;333 3188015;;;www.ilperoselvatico.com;info@ilperoselvatico.it;2016;9.3859502;44.7700875
BOBBIO;PIACENZA;Bed & Breakfast;;B&B LA BICOCCA;Case Draghi, 35;Santa Maria;29022;PC;33005;340 8782303;;;;labicoccabb@hotmail.com;2016;9.343859;44.785662
BOBBIO;PIACENZA;Bed & Breakfast;;B&B LA TORRETTA RESORT;Vicolo Buelli 8;Piancasale;29022;PC;33005;0523 960244;;0523 960244;www.latorrettaresort.it;marina.bertoli@latorrettaresort.it;2016;9.4112368;44.7844943
BOBBIO;PIACENZA;Bed & Breakfast;;B&B LO SGUARDO SUL PONTE;LOC. POGGIOLO, 1;;29022;PC;33005;0523 933371;;;;losguardosulponte@katamail.com;2016;9.392709;44.766385
BOBBIO;PIACENZA;Bed & Breakfast;;B&B PAOLA;Via Statale Vecchia, 5;Cassolo;29022;PC;33005;0523 937102;;0523 937102;;;2016;9.4002833;44.7807842
BOBBIO;PIACENZA;Bed & Breakfast;;B&B SAN COLOMBANO;Vicolo Borghetto, 5;;29022;PC;33005;0523 1797293;;0377 51047;www.sancolombanobb.it;info@sancolombanobb.it;2016;9.38449;44.76723
BOBBIO;PIACENZA;Bed & Breakfast;;B&B SAN NICOLA;Contrada Borgoratto 24;;29022;PC;33005;0523 932355;;0523 963515;www.ristorantesannicola.it;info@ristorantesannicola.it;2016;9.38901;44.76584
BOBBIO;PIACENZA;Campeggio;3 stelle;CAMPING PONTE GOBBO;Via San Martino, 4;San Martino;29022;PC;33005;0523 936927;;0523 960610;www.campingpontegobbo.it;camping.pontegobbo@iol.it;2016;9.38168;44.76441
BOBBIO;PIACENZA;Ostello;;OSTELLO DI PALAZZO TAMBURELLI;Contrada dell'Ospedale 12;;29022;PC;33005;340 5492188;;;www.cooltour.it;info@cooltour.it;2016;9.3910067;44.7909883
BORGONOVO VAL TIDONE;PIACENZA;Agriturismo;;AGRITURISMO IL CORNIOLO;Località Castelnuovo Val Tidone, 287;Castelnuovo Val Tidone;29011;PC;33006;0523 869293;;0523 869293;;ilcorniolo@hotmail.it;2016;9.4434033;44.992488
BORGONOVO VAL TIDONE;PIACENZA;Agriturismo;;AGRITURISMO IL VIANDANTE;Loc. Spada, 153;;29011;PC;33006;0523 860014;;;;info@ilviandanteagriturismo.it;2016;9.4637954;45.0101773
BORGONOVO VAL TIDONE;PIACENZA;Agriturismo;;AGRITURISMO PODERE TERRAVERA;Località Ca Nova di Corano, 173;;29011;PC;33006;0523 845515;;0523 845656;www.podereterravera.com;info@podereterravera.com;2016;9.44685;45.01837
BORGONOVO VAL TIDONE;PIACENZA;Agriturismo;5 margherite;AGRITURISMO IL CORTILE;Località Castellina, 252;;29011;PC;33006;0523 847570;;0523 864316;www.ilcortilevaltidone.it;agriturismo@ilcortilevaltidone.it;2016;9.4637954;45.0101773
BORGONOVO VAL TIDONE;PIACENZA;Agriturismo;5 margherite;AGRITURISMO VILLA PARADISO;Via Chignoli, 143;;29011;PC;33006;0523 865924;;0523 865924;www.agri-villaparadiso.com;;2016;9.4637954;45.0101773
BORGONOVO VAL TIDONE;PIACENZA;Albergo;3 stelle;VALTIDONE HOTEL;VIA MOTTAZIANA, 10;;29011;PC;33006;328 9797643;;0523 865213;www.hotelvaltidone.it;info@hotelvaltidone.it;2016;9.4568002;45.0162222
BORGONOVO VAL TIDONE;PIACENZA;Bed & Breakfast;;B&B DIMORA CORANO AI COLLI PIACENTINI;VIA CORANO, 113;;29011;PC;33006;339 5469491;;;www.dimoracorano.it;info@dimoracorano.it;2016;;
BORGONOVO VAL TIDONE;PIACENZA;Bed & Breakfast;;B&B IL FUCORE';Località San Biagio, 189;San Biagio;29011;PC;33006;0523 861284;;;www.ilfucore.it;betty@ilfucore.it;2016;9.416227;45.006624
BORGONOVO VAL TIDONE;PIACENZA;Bed & Breakfast;;B&B IL GIARDINO DI LAURA;Via Pianello, 70;Castelnuovo Val Tidone;29011;PC;33006;347 8004248;;;www.ilgiardinodilaura.it;laura@ilgiardinodilaura.it;2016;9.445445;45.012257
BORGONOVO VAL TIDONE;PIACENZA;Bed & Breakfast;;B&B STEMIHEA;LOC. CORANO, 26;;29011;PC;33006;0523 845513;;;;paolaschiavi@libero.it;2016;;
CADEO;PIACENZA;Albergo;3 stelle;HOTEL ROUTE 9;VIA EMILIA , 21;Fontana Fredda;29010;PC;33007;0523 510743;;0523 510773;www.hotelroute9.it;info@hotelroute9.it;2016;;
CADEO;PIACENZA;Albergo;4 stelle;HOTEL LE RUOTE;Via Emilia Parmense, 204;Roveleto;29010;PC;33007;0523 500427;;0523 509334;www.hotelleruote.it;prenotazioni@hotelleruote.it;2016;9.852204;44.965071
CADEO;PIACENZA;Albergo;4 stelle;HOTEL RELAIS CASCINA SCOTTINA;Strada Del Riglio;Scottina;29010;PC;33007;0523 504232;;0523 504260;www.relaiscascinascottina.it;ost.pesa@libero.it;2016;9.844543;45.046609
CALENDASCO;PIACENZA;Agriturismo;;AGRITURISMO PRADONICO;Località Predonico, 1;;29010;PC;33008;339 7993067;;;www.pradonico.it;elisa@pradonico.it;2016;;
CALENDASCO;PIACENZA;Agriturismo;3 margherite;AGRITURISMO DA LUCA;Loc. Mastruzzo, 7;;29010;PC;33008;0523 769767;;;;nikaragua@libero.it;2016;;
CALENDASCO;PIACENZA;Ostello;;OSTELLO LE TRE CORONE;Via Mazzini 59;;29010;PC;33008;0523 772894;;;www.trecorone.it;info@trecorone.it;2016;9.5956856;45.087749
CAMINATA;PIACENZA;Agriturismo;4 margherite;AGRITURISMO LA MATELLINA;Località Matellina;;29010;PC;33009;0523 993022;;;www.lamatellina.it;lamatellina@hotmail.it;2016;9.308799;44.910001
CARPANETO PIACENTINO;PIACENZA;Agriturismo;;AGRITURISMO POGGIO CAMINATA;Strada Bariana, 48;Celleri;29013;PC;33011;0523 850342;;;www.poggiocaminata.it;prenotazioni@poggiocaminata.it;2016;9.74352;44.87562
CARPANETO PIACENTINO;PIACENZA;Agriturismo;4 margherite;AGRITURISMO CASA DEI MERLI;Località Costa Nicrosi 122;Travazzano;29013;PC;33011;0523 850269;;;www.agriturismocasadeimerli.com;silvafmem@libero.it;2016;9.801741;44.881278
CARPANETO PIACENTINO;PIACENZA;Agriturismo;5 margherite;AZIENDA AGRICOLA IL BORGO;Via Cimafava, 57;Cimafava;29013;PC;33011;0523 852081;;0523 246294;www.cimafava.it;agriturismo@cimafava.it;2016;9.7709666;44.9066688
CARPANETO PIACENTINO;PIACENZA;Albergo;3 stelle sup.;HOTEL LA MAISON DE VI;Strada di Cimafava, 67;Cimafava;29013;PC;33011;0523 043394;;0523 043396;www.lamaisondevi.it;info@lamaisondevi.it;2016;9.773537;44.906569
CARPANETO PIACENTINO;PIACENZA;Bed & Breakfast;;B&B LA CORTE DEI PICCOLI;Località Corti 28;Rezzano;29013;PC;33011;0523 853314;;0523 853314;www.lacortedeipiccoli.com;info@lacortedeipiccoli.com;2016;9.95842;44.9089
CARPANETO PIACENTINO;PIACENZA;Bed & Breakfast;;B&B VILLA VALCHERO;Centro Chero, 36;;29013;PC;33011;0523 852376;;0523 852376;www.villavalchero.it;info@villavalchero.it;2016;9.8258522;44.9289497
CASTELL'ARQUATO;PIACENZA;Affittacamere;;ROOM & BREAKFAST VILLA DIRCEA;strada Fiorenzuola 2;;29014;PC;33012;0523 804150;;;www.villadircea.it;info@villadircea.it;2016;9.8765867;44.8514034
CASTELL'ARQUATO;PIACENZA;Agriturismo;;AGRITURISMO PODERE PALAZZO ILLICA;VIA CANALE;San Lorenzo;29014;PC;33012;0523 803965;;;www.podereillica.com;info@podereillica.com;2016;9.8704676;44.8534249
CASTELL'ARQUATO;PIACENZA;Agriturismo;;PALLARA SILVIA;LOC. CA' RUPERTI;San Lorenzo;29014;PC;33012;335 8076179;;;;;2016;9.8704676;44.8534249
CASTELL'ARQUATO;PIACENZA;Albergo;3 stelle;LOCANDA SIDOLI;Via Cavour, 53;Vigolo Marchese;29014;PC;33012;0523 893040;;0523 893040;www.locandasidoli.it;info@locandasidoli.it;2016;9.8419616;44.8781829
CASTELL'ARQUATO;PIACENZA;Bed & Breakfast;;B&B DEL DUCATO;Piazza Europa, 3;;29014;PC;33012;342 6226281;;;www.bbdelducato.com;info@bbdelducato.com;2016;9.87001;44.85284
CASTELL'ARQUATO;PIACENZA;Bed & Breakfast;;B&B GIARDINO DELLA FANTASIA;Via Vassalli, 68;;29014;PC;33012;0523 803077;;;;info@giardinodellafantasia.it;2016;9.8649163;44.8497286
CASTELL'ARQUATO;PIACENZA;Bed & Breakfast;;B&B LA CINGHIALINA;CASE SPARSE ZILIOLI, 47;;29014;PC;33012;348 7807607;;;www.lacinghialina.it;chiaraperiti@gmail.com;2016;;
CASTELL'ARQUATO;PIACENZA;Bed & Breakfast;;B&B MULINO MARSA;Case Sparse Mulino Marsa, 2;;29014;PC;33012;347 7799179;;;www.mulionomarsa.it;info@mulinomarsa.it;2016;;
CASTELL'ARQUATO;PIACENZA;Bed & Breakfast;;B&B WINE - SORSI DI NATURA;LOC. MONTEPASCOLO, 2;;29014;PC;33012;0523 803502;;;www.vignetocardinali.it;info@vignetocardinali.it;2016;9.8704676;44.8534249
CASTEL SAN GIOVANNI;PIACENZA;Affittacamere;;AFFITTACAMERE GUINNESS PLANET;Via Dogana Po, 19;La Pievetta;29015;PC;33013;0523 883764;;0523 883764;www.guinnesplanet.it;info@guinnesplanet.it;2016;9.446819;45.063128
CASTEL SAN GIOVANNI;PIACENZA;Affittacamere;;AFFITTACAMERE LA DOGANA PERNOTTAMENTI;Via Dei Barcaioli, 3/b;Pievetta;29015;PC;33013;348 3957289;;;;;2016;9.4542537;45.0881199
CASTEL SAN GIOVANNI;PIACENZA;Affittacamere;;LEON D'ORO AFFITTACAMERE;Via Nino Bixio, 24;;29015;PC;33013;0523 849461;;0523 849461;www.albergo-leondoro.it;info@albergo-leondoro.it;2016;9.4448168;45.015965
CASTEL SAN GIOVANNI;PIACENZA;Agriturismo;3 margherite;AGRITURISMO IL CASALE DEL SAPERE E DEL SAPORE;Via B. Armani, 6;Ganaghello;29015;PC;33013;338 2517469;;0523 885508;www.saperesapore.it;info@saperesapore.it;2016;9.383182;45.048299
CASTEL SAN GIOVANNI;PIACENZA;Albergo;2 stelle;LEON D'ORO;Via Nino Bixio, 35;;29015;PC;33013;0523 849461;;0523 849461;www.albergo-leondoro.it;info@albergo-leondoro.it;2016;9.4448168;45.015965
CASTEL SAN GIOVANNI;PIACENZA;Albergo;3 stelle;HOTEL LA GRITTA;Via Emilia Piacentina, 45;;29015;PC;33013;0523 849612;;0523 849418;;hotelgritta@alice.it;2016;9.4554712;45.0560266
CASTEL SAN GIOVANNI;PIACENZA;Albergo;3 stelle sup.;HOTEL RIZZI;Via Borgonovo, 46 F;;29015;PC;33013;0523 882290;;0523 883759;www.hotel-rizzi.it;info@hotel-rizzi.it;2016;9.441821;45.055851
CASTEL SAN GIOVANNI;PIACENZA;Albergo;4 stelle;HOTEL MOTEL 2;Strada Dogana Po, 15 A;;29015;PC;33013;0523 849296;;0523 883199;www.motel2.it;cgs@motel2.it;2016;9.430995;45.050553
CASTEL SAN GIOVANNI;PIACENZA;Bed & Breakfast;;B&B AURORA;Via De Amicis 6;;29015;PC;33013;0523 884263;;0523 884263;;g.solengi61@virgilio.it;2016;9.4345653;45.0597704
CASTEL SAN GIOVANNI;PIACENZA;Bed & Breakfast;;B&B SOGNI SERENI;Via Romagnosi, 7;;29015;PC;33013;335 6249613;;;;;2016;9.433235;45.058166
CASTELVETRO PIACENTINO;PIACENZA;Affittacamere;;AFFITTACAMERE DIMORA DELLA GRAN FARNIA;STRADA Statale 10, 2;Loc. Mezzano;29010;PC;33014;0523 1960142;;;;info@dimoradellagranfarnia.it;2016;9.9941398;45.1131305
CASTELVETRO PIACENTINO;PIACENZA;Agriturismo;;AGRITURISMO CAMPASS;Via Pomello 32;;29010;PC;33014;0523 825147;;;;agriturismocampass@gmail.com;2016;9.9893839;45.0952065
CASTELVETRO PIACENTINO;PIACENZA;Albergo;3 stelle;HOTEL NOVECENTO;Strada SS 10 - Loc Ex Fornace RDB;;29010;PC;33014;0523 825035;;0523 825036;www.hotel-novecento.it;info@hotel-novecento.it;2016;9.993605;45.114131
CASTELVETRO PIACENTINO;PIACENZA;Albergo;3 stelle;HOTEL PARCO;Strada SS Due Ponti 5;;29010;PC;33014;0523 825013;;0523 825442;www.hotelparco.it;info@hotelparco.it;2016;9.9906026;45.0953038
CASTELVETRO PIACENTINO;PIACENZA;Bed & Breakfast;;B&B LA VIOLA;Via Rapari Pallavicini, 36;;29010;PC;33014;0523 824829;;;;bandblaviola@gmail.com;2016;;
CASTELVETRO PIACENTINO;PIACENZA;Bed & Breakfast;;B&B PRIMAROSA;VIA RAPARI PALLAVICINI,36;;29010;PC;33014;339 2373983;;;;roberta.bislenghi@g.mail.com;2016;;
CERIGNALE;PIACENZA;Affittacamere;;AFFITTACAMERE CA' DELLA CELLA;Via Capoluogo 8 A;;29020;PC;33015;0523 939215;;0523 939215;;massimo.castelli2002@libero.it;2016;9.3510921;44.6775668
CERIGNALE;PIACENZA;Albergo;3 stelle;HOTEL DEL PINO;Via Capoluogo, 22;;29020;PC;33015;0523 939215;;0523 939215;www.hotelalbergodelpino.com;cast5919@hotmail.com;2016;9.441826;45.055849
CERIGNALE;PIACENZA;Campeggio;3 stelle;CAMPING LE PIANE;Località Le Piane;Le Piane;29020;PC;33015;0523 939345;;0523 939345;www.campinglepiane.com;campinglepiane@gmail.com;2016;9.498138;44.823508
COLI;PIACENZA;Affittacamere;;AFFITTACAMERE TERRA ACQUA;Via Nazionale, 39;Perino;29020;PC;33016;339 5334022;;;www.terra-acqua.it;quellodelbelve@virgilio.it;2016;9.414617;44.7448571
COLI;PIACENZA;Agriturismo;;AGRITURISMO CASA DEI MARCHESI;Loc. Averaldi, 2;;29020;PC;33016;338 6136363;;;;giovanna.boselli@libero.it;2016;9.414617;44.7448571
COLI;PIACENZA;Agriturismo;;AGRITURISMO TRE NOCI;FONTANA;Fontana;29020;PC;33016;0523 931020;;;www.agriturismo.st;arcobaleno.rosso@libero.it;2016;9.4160756;44.7552823
COLI;PIACENZA;Albergo;1 stella;PINETA;Località Fontana, 77;Fontana;29020;PC;33016;0523 931059;;0523 931059;;varner.ferrari@gmail.com;2016;9.4133123;44.7601059
COLI;PIACENZA;Albergo;2 stelle;IL POGGIOLO;Località Poggiolo;Poggiolo;29020;PC;33016;0523 931063;;0523 931063;www.albergopoggiolo.it;info@albergopoggiolo.it;2016;9.42361;44.74733
CORTE BRUGNATELLA;PIACENZA;Affittacamere;;LOCANDA IL LAGO DI CHIARA;Lago, 21;Brugnello;29020;PC;33017;320 1790239;;;;;2016;9.381135;44.71378
CORTEMAGGIORE;PIACENZA;Albergo;3 stelle;HOTEL LA TAVOLA ROTONDA;Via Piacenza, 35;Chiavenna Landi;29016;PC;33018;0523 836884;;0523 836538;www.latavolarotonda.info;info@latavolarotonda.info;2016;9.8612276;45.0123796
FARINI;PIACENZA;Agriturismo;3 margherite;AGRITURISMO LE SERMASE;Località Nicelli, 58;;29023;PC;33019;0523 915330;;0523 915330;www.agriturismosermase.it;lesermase@libero.it;2016;9.4954311;44.6929045
FARINI;PIACENZA;Albergo;1 stella;CAPPELLETTA;Località Passo Cappelletta, 3;Pradovera;29023;PC;33019;0523 910158;;0523 910158;www.albergocappelletta.it;info@albergocappelletta.it;2016;9.52399;44.72856
FARINI;PIACENZA;Albergo;1 stella;CENTRALE;Viale Europa, 96;Groppallo;29023;PC;33019;0523 916104;;0523 916441;;info@fratellisalini.it;2016;9.6000481;44.6961095
FARINI;PIACENZA;Albergo;1 stella;DEI CACCIATORI;Località Mareto;Mareto;29023;PC;33019;0523 915131;;0523 915500;www.albergodeicacciatori.it;demire@email.it;2016;9.5046754;44.7020839
FARINI;PIACENZA;Albergo;1 stella;DELMOLINO;Viale Europa, 128;Groppallo;29023;PC;33019;0523 916108;;0523 916108;;;2016;9.6000481;44.6961095
FARINI;PIACENZA;Albergo;1 stella;GARILLI;Località Cogno San Savino, 22;Cogno San Savino;29023;PC;33019;0523 910106;;;;;2016;9.5417763;44.7099945
FARINI;PIACENZA;Albergo;1 stella;ITALIA;Via Europa, 84;Groppallo;29023;PC;33019;0523 916119;;;www.albergoristoranteitalia.pc.it;info@albergoristoranteitalia.pc.it;2016;9.6000481;44.6961095
FARINI;PIACENZA;Casa per ferie;;CASA PER FERIE VILLA REGINA MUNDI;Località Pianazze;Pianazze;29023;PC;33019;0523 919119;;0523 919119;www.villareginamundi.it;info@villareginamundi.com;2016;9.5835389;44.6195849
FERRIERE;PIACENZA;Affittacamere;;LOCANDA GRONDANA;Via Roma n. 19;;29024;PC;33020;0523 922212;;;;chiaratassi89@libero.it;2016;;
FERRIERE;PIACENZA;Affittacamere;;ROOM & BREAKFAST CASTELLO MALASPINA DI GAMBARO;Loc. Gambaro;;29024;PC;33020;0523 1797245;;;www.castellodigambaro.it;btalber@tin.it;2016;9.4915661;44.6183127
FERRIERE;PIACENZA;Agriturismo;;AGRITURISMO IL MULINO DEI BOERI;Località Boeri;;29024;PC;33020;0523 922240;;0523 924435;;romano.bergonzi@libero.it;2016;9.4976666;44.6448518
FERRIERE;PIACENZA;Albergo;3 stelle;DIFFUSO CASA DELLE FAVOLE;Località Perotti;Perotti;29024;PC;33020;0523 922849;;;www.casadellefavole.com;info@casadellefavole.com;2016;9.523613;44.6477101
FERRIERE;PIACENZA;Bed & Breakfast;;B&B LE QUERCE DI ROCCA;Via La parrocchia, 3;;29024;PC;33020;0523 922425;;0523 922425;www.lequercedirocca.3000.it;lequercedirocca@hotmail.com;2016;9.601107;44.69549
