Denominazione,Comune,Indirizzo,Partita
DITTA GI.FA.ST. S.N.C. DI BOLELLI GIANFRANCO E VECCHI WILLIAM,SALA BOLOGNESE,VIA BIZZARRI 10/12,600451207.0
EUROUTENSIL S.N.C. DI ANDREA E LISA MAGNANINI,CASTEL MAGGIORE,VIA LA PIRA 38,2193021207.0
GELATERIA BALANZONE DI PAOLO FIORINI & C. S.N.C.,BOLOGNA,PIAZZA TRENTO TRIESTE 8/A,2315211207.0
B.B. S.N.C. DI BONFIGLIOLI MASSIMO E C.,MALALBERGO,VIA BIGNAMI 2/A,3201541202.0
ERREVI S.N.C. DI RAVALDI LUCIANA E C.,CALDERARA DI RENO,VIA ROMA 84,3039751205.0
OUTLINE S.N.C. DI BREDA ROBERTO & DELLA SCIUCCA SERGIO,BOLOGNA,VIA MAGAZZARI 7/G,3649080375.0
NONNA PAZZA S.N.C. DI IENNACO ANTONIO & C.,BOLOGNA,VIA PIAVE 31/B,3793851209.0
DELTA DI FEDERICI MARCO E C. S.N.C.,MORDANO,VIA DEL LAVORO 9,3833731205.0
IMMOBILIARE BURZI S.N.C. DI BURZI ENZO E GIOVANNI,CASALECCHIO DI RENO,VIA GALVANI 8,512371204.0
F.LLI GALETTI S.N.C. DI GALETTI NICOLA E C.,MEDICINA,VIA BRANDALISE 2,511391203.0
CREAZIONI*GARSON S.N.C. DI UMBERTO VACCARI & C.,MOLINELLA,VIA SELVA 45,642121206.0
S.A.V. MECCANICA S.N.C. DI APOLLO SALVATORE E CACCIAGUERRA ALBER- TO,ZOLA PREDOSA,VIA CURIEL 8,701541203.0
ETICHETTIFICIO 90 S.N.C. DI GAGLIARDI FRANCESCO PAOLO & C.,SAN LAZZARO DI SAVENA,VIA ZUCCHI 22,3254391208.0
PIZZA KING S.N.C. DI SHARIF IJAZ E KHAN IMTIAZ,BOLOGNA,VIA GUERRAZZI 11/B,2361981208.0
GIOIA DI CHEN JICONG E C. S.N.C.,ANZOLA DELL'EMILIA,VIA LUNGA 1,2343681207.0
CENTROFRUTTA*CASTIGLIONE DI ELMI GIANCARLO E ANNA S.N.C.,CASTIGLIONE DEI PEPOLI,VIA BOLOGNESE 81/3,583961206.0
NEHMAT S.N.C. DI MUHAMMAD RIAZ,BOLOGNA,VIA DEL BORGO SAN PIETRO 40/A,2926511201.0
ZEROCINQUE S.N.C. DI GIRONI VILBERTO E SIMONINI ROSSELLA,CASTEL MAGGIORE,VIA GRAMSCI 192 A/B,2518771205.0
TRATTORIA CA' DI PIPPO DI SASDELLI FRANCESCO E C. SNC,CASALFIUMANESE,VIA VALSELLUSTRA 31,3117601207.0
ONDE SU ONDE SNC DI GABRIELLA GAGLIO E C.,BOLOGNA,VIA MASSARENTI 90/2 E,4188300372.0
SA.SA S.N.C. DI SAVERIO MASINI E SABRINE BEN HAI HAMZA,PIANORO,VIA NAZIONALE 18/A-B,3646761209.0
A.T. PNEUSMOTORS SNC DI ALBANO ANDREA E TRAVAGLIANTI TONINO,ZOLA PREDOSA,VIA KENNEDY 18,3128231200.0
SISTER S.N.C. DI LUO BEILEI & C.,BOLOGNA,VIA GIUSEPPE MASSARENTI 48/F,3767931201.0
PASTICCERIA MILLE VOGLIE S.N.C. DI PALAZZO GIAN LUCA & C.,BOLOGNA,VIA CORIOLANO VIGHI 13,2565911209.0
"MONTART DI SGARGI GHERARDI LUCA , RONCARATI VALERIO E RONCARATI GIANGUIDO S.N.C.",GRANAROLO DELL'EMILIA,VIA CADUTI PER LA LIBERTA' 4,1619511205.0
SALUMI TONDI S.N.C. DI CHILETTI MARCO & C.,CASTEL D'AIANO,PIAZZA NANNI LEVERA 7,1948931207.0
G.P. BAR S.N.C. DI CARIANI GABRIELE E PALMIERI PATRIZIA,PIANORO,VIA NAZIONALE 160,2369051202.0
VLF IMOLA DI POGGI VANDA POGGI LUCIANO DALL'ALPI FRANCO SNC IN SIGLA VLF IMOLA SNC,IMOLA,VIA ASPROMONTE 21,2521721205.0
GRISU' S.N.C. DI FRANCESCA RUSCITTI E FORTUNATO FABBRIS,BOLOGNA,VIA DELLE MOLINE 15/B,3334851205.0
CHARME S.N.C. DI WATERFALL S.R.L.,BOLOGNA,VIA DELL ARCOVEGGIO 74/6,3442401208.0
SUPPINI AMELIA E C. S.N.C. DI LAFFI ISAIA,MARZABOTTO,VIA PORRETTANA NORD 5,631601200.0
BAR CENTRALE S.N.C. DI PAN CHENGJIE E C.,GALLIERA,PIAZZA DELLA REPUBBLICA 8-9/A,3113531200.0
NEW GREEN 2000 DI LANZI TIBERIO E MAZZONI LUCA S.N.C.,SAN GIOVANNI IN PERSICETO,PIAZZA DELLE POSTE 9,2995201205.0
MA.VA S.N.C. DI MARCO MELCHIORRI E VANESSA SOLINI,CASTEL SAN PIETRO TERME,VIA DECUMANO 1,3723611202.0
VETRERIA ALVA S.N.C. DI BARBIERI ALESSANDRO E APOLITO NICOLE,BOLOGNA,VIA PRATELLO 87,388340374.0
ITALRICAMBI S.N.C. DI CAVALIERI FOSCHINI FABIO & C.,BOLOGNA,VIA LARGA 15/6F,4211960374.0
D'ELIA PALMINO DI D'ELIA PALMINO E C. - S.N.C.,BORGO TOSSIGNANO,VIA ROMA 87,2184901201.0
IL DELFINO S.N.C. DI BAI EMANUELE & C.,ZOLA PREDOSA,VIA RISORGIMENTO 140,3199121207.0
C G F S.N.C. DI CARLO FABBRI & C.,BOLOGNA,VIA FINELLI 3,4326910371.0
BUSACCHI E MONESI S.N.C. DI BUSACCHI LARA E MONESI ANDREA & C.,BOLOGNA,VIALE ALCIDE DE GASPERI 11,3564791204.0
TOZZI-INVERNIZZI IMMOBILIARE DI TOZZI DINA & C. S.N.C.,BOLOGNA,VIA MAGINI 4,539981209.0
GOLDONI IMMOBILIARE S.N.C. DELLE DOTT.SSE GIORGIA E ROSSELLA GOLDONI,SANT'AGATA BOLOGNESE,VIA DON MINZONI 36/A,1829550381.0
T.M.L. DI TERZI MAURIZIO & LUCA S.N.C.,VALSAMOGGIA,VIA SANT'APOLLINARE 4218/A,2165771201.0
C & G S.N.C. DI CERISETTI LUCIANO E C.,BOLOGNA,VIA ALTOBELLI 15,3111900373.0
"OXTAR IMMOBILIARE S.N.C. DI CASADIO LORETI SILVIO, NANETTI SALVATORE E TADDIA BRUNO",BOLOGNA,VIA FOSSOLO 32,499061208.0
DALL'ALPI DAVIDE E C. S.N.C.,CASALFIUMANESE,PIAZZA CAVALLI 7/B,1593611203.0
ORTO DEL RE DI MAMUN MAYNUL ISLAM SNC,BOLOGNA,VIA PORRETTANA 85/A,3708201201.0
DARCHINI S.N.C. DI DARCHINI GIAN LUCA E C.,IMOLA,VIA APPIA 52,1541711204.0
"3B*ELETTRONICA S.N.C. DI BUFFAGNOTTI ADRIANO, BARTOLETTI DANIELE",BOLOGNA,VIA SANTA CROCE 16/F,3646910376.0
MAR.FA SERVIZI S.N.C. DI FAVARETTO M. E FAMIGLIETTI M.,CALDERARA DI RENO,VIA PRIMO MAGGIO 3,2693111201.0
AGRICOLA ROSA DI DALL'ARA LOREDANA & C. S.N.C.,BOLOGNA,VIA SAN DOMENICO 7,1989941206.0
LABORATORIO CHIESI S.N.C. DI CHIESI OLIVIA E C.,IMOLA,VIA BALDINI 1,519791206.0
VEMA DI VENTURI MORENO E MAURIZZI MARTINO S.N.C.,SASSO MARCONI,VIA PORRETTANA 363,4106310370.0
STOP 256 S.N.C. DI BONAGA CRISTINA E C.,BOLOGNA,VIA EMILIA PONENTE 256,1792581207.0
HOUSE DEFENDER S.N.C. DI LAMANDINI JURY & C.,MONTE SAN PIETRO,VIA LAVINO 12,2990301208.0
F.P.L. SNC DI PIZZO VINCENZO & C.,VERGATO,VIA RIO CANE' 24/A,1741091209.0
AUTOCARROZZERIA TARTARI E RIGHI S.N.C. DI TARTARI FABIO E RIGHI CELSO & C.,BOLOGNA,VIA MICHELINO 93/2 G,1982471201.0
FARMACIA BURZI DEI DOTTORI BURZI ANDREA E MATTIA S.N.C.,VALSAMOGGIA,VIA MAZZINI 9,3060041203.0
EREDI ZAMBELLI E SALVI S.N.C. DI RITA SALVI E C.,CAMUGNANO,LOCALITA' TRASSERRA CASTAGNO 10,2894781208.0
LA PESCHERIA DI BOCCHINI VALTER & C. S.N.C.,BOLOGNA,VIA GUELFA 5,1250090394.0
SPITALERI S.N.C. DI SPITALERI GIUSEPPE & C.,BOLOGNA,VIA FRATI 1,2253071209.0
TECNOCAB S.N.C. DI SAGRINI VALERIO & C.,IMOLA,VIA LUIGI MUSCONI 10,2279060392.0
LAVASECCO IL DELFINO SNC DI BIFANO CATERINA E KHOROSHOK TETYANA,BOLOGNA,VIA SARAGOZZA 101B/2,3816721207.0
OFFICINA MALAGUTI S.N.C. DI BERSANETTI VITTORE E C.,CASTEL SAN PIETRO TERME,VIA ABRUZZO 9,541521209.0
"FARMACIA SOLI DELLA CROCE DI CASALECCHIO DEI DOTTORI ALESSANDRA POLI, MICHELA BONORA E PAOLO BRECCIA FRATADOCCHI S.N.C.",CASALECCHIO DI RENO,VIA PORRETTANA 48/2,1892151208.0
LA VALLE DEI SAPORI S.N.C. DI AVITABILE CATELLO E PARATO CARLOTTA,MONTERENZIO,VIA DELL'OSTERIA 31/A,2658241209.0
BORELLI S.N.C. DI BORELLI LUCIANO E MASSIMO,SAN BENEDETTO VAL DI SAMBRO,VIA CA' DEI BORELLI 57/B,2405771201.0
SALGRADO S.N.C. DI SALVATORE E GRAZIANO DONADIO,CALDERARA DI RENO,VIA VERDE 7/A,3329351203.0
PASSINI GIULIANO,CASTEL D'AIANO,VIA DEI MARZADRI 8,1742191206.0
ECLISSI DI MARIARCA DELLA RAGIONE,MEDICINA,VIA PAOLO FILIPPINI 60,3788351207.0
VADOALMASSIMO*3 DI LANZARINI WALTER,SAN LAZZARO DI SAVENA,VIA PIO LA TORRE 1,237121207.0
ITAL COPERTURE DI GIANGRASSO GIUSEPPE,CASALECCHIO DI RENO,VIA CILEA 76,2595211208.0
MESSINA GIUSEPPE,BOLOGNA,VIA SAFFI 18/2/D/L,2206951200.0
EDITECS DI CABASSI RENZO,BOLOGNA,VIA RIZZOLI 4,887070373.0
SOCIETA' AGRICOLA MARTELLI ENZO E FIGLI S.S.,BOLOGNA,VIA CADRIANO 28,2179680372.0
MASSARO WILLIAM,MONZUNO,VIA VAL DI SETTA 105,2378821207.0
TEAL DI TEDESCHI ALESSANDRO,SAN BENEDETTO VAL DI SAMBRO,VIA VITTIME RAPIDO 904 15/B,1512551209.0
BOMBONATO ALESSIO & C. S.A.S.,BOLOGNA,VIA CIPRIANI 9,2224321204.0
BIESSE IMMOBILIARE S.R.L.,BOLOGNA,VIA FRANCESCO ZANARDI 355,3121111201.0
DIESSE S.R.L.,SAN LAZZARO DI SAVENA,VIA DELLA TECNICA 75,602291205.0
MALOSSI S.R.L.,SAN LAZZARO DI SAVENA,VIA SCORNETTA 1,670501204.0
NEW COPY DI SCIORTINO ALESSANDRA,BOLOGNA,VIA BELLE ARTI 26/A,2942161205.0
PIZZERIA LA BUSSOLA DI LISA MARIO,BOLOGNA,VIA SARAGOZZA 55/A,
NASSISI GIUSEPPE,BUDRIO,VIA MARTIRI ANTIFASCISTI 18,3206531208.0
CIESSEFFE S.R.L. IN LIQUIDAZIONE,SAN LAZZARO DI SAVENA,VIA EMILIA LEVANTE 168,11004011000.0
AIRBAG PROFESSIONAL S.R.L,SAN GIOVANNI IN PERSICETO,VIA PASTEUR 4,3566161208.0
BOLOGNA ASSICURAZIONI DI NICOLA SCOPA & C. S.A.S.,BOLOGNA,VIA AUGUSTO RIGHI 11,3524501206.0
DONZELLI VANESSA,BOLOGNA,VIA VITTORIO VENETO 22,3843401203.0
EDIL MAGDA DI DONATO FACCIORUSSO,BOLOGNA,VIA GUGLIELMO OBERDAN 19,3903801201.0
LA CASETTA IN MASSARENTI DI PAOLINO FRANCESCO,BOLOGNA,VIA GIUSEPPE MASSARENTI 152,3813331208.0
KOMPASS S.R.L.,BOLOGNA,VIA SAN PIER TOMMASO 18/3,2641681206.0
M.T.B. S.N.C. DI TASSINARI CINZIA E C.,BOLOGNA,VIA LORENZETTI 10,4200250373.0
AZ.AGR. POGGIO DI SOTTO S.S.,PIANORO,VIA ZENA 5,2337391201.0
MAURIZZI ALESSANDRO,MONTERENZIO,VIA PIZZANO 25,1576861205.0
AUTOFFICINA GRILLINI MASSIMO,DOZZA,VIA MORANDI 33,2987801202.0
EQUIPE MAX E RINA PARRUCCHIERI DI MASI MASSIMILIANO,BARICELLA,VIA ROMA 59,3149621207.0
MALAGOLI FLAVIO MASSIMO,BOLOGNA,VIA BELLARIA 36/B,2295791202.0
TECHNO STUDIO DI MASSIMO ZANETTI,SASSO MARCONI,VIA RENATA VIGANO' 11,3607581208.0
4D - FORMAZIONE E CONSULENZA PER LO SVILUPPO PROFESSIONALE E ORGANIZZATIVO S.R.L. IN LIQUIDAZIONE,BOLOGNA,VICOLO MARISCOTTI 4,3717681203.0
ASSISPORT BOLOGNA S.N.C. DI TESSITORE FRANCESCO E TOSI SANZIA.,BOLOGNA,VIA ZANARDI 56,2925561207.0
COMPAGNIA TESSILE ITALIANA S.N.C. DI BRAGA ANDREA E C.,BOLOGNA,VIA FRANCESCO DE SANCTIS 9/F,4320470372.0
AZIENDA AGRICOLA CA' ROSSA DI TARONI FILIPPO,IMOLA,VIA FERRA 2,2423011200.0
STUDIO ASSOCIATI S.R.L.,BOLOGNA,VIA TOSCANA 172/3,2425531205.0
EL SHARKAUI S.A.S. DI MOHAMED NASER ABDALLA HASSAN,BOLOGNA,VIA MASSARENTI 206,2832321208.0
BOLO FOOD EXPRESS DI GUMARI NICOLA,ARGELATO,VIA LAME 53,3527911204.0
HAPPY BUSINESS SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA IN LIQUIDAZIONE,BOLOGNA,VIA CLETO TOMBA 15,3307881205.0
EUROBLU STAND DI MARCHI ALESSANDRA,BOLOGNA,VIA M. AMARI 1,2178791204.0
GELATERIA ARTIGIANALE DI MICHELINI MASSIMILIANO E ZAMBELLI SAMANTA & C. SNC,BOLOGNA,VIA PELAGIO PELAGI 35/B,2703341202.0
BIEMMECI IMMOBILIARE S.A.S. DI MARINELLA CASSANELLI E C.,MONTE SAN PIETRO,VIA LAVINO 102,2250201205.0
VAIANO ASSUNTA,MOLINELLA,VIA LEOPARDI GIACOMO 2,3899841203.0
ZANARDI BEVANDE S.N.C. DI DAVIDE RUSSO E C.,MEDICINA,VIA BARLETTA 14-16,3936531205.0
MENETTI GIUSEPPE E CACCIARI ROSSANA SOCIETA' AGRICOLA,CASTEL SAN PIETRO TERME,VIA COVA 899/D,1645221209.0
MARTELLI DI ROBERTO E MASSIMILIANO MARTELLI & C. - SOCIETA' IN AC COMANDITA SEMPLICE,SAN LAZZARO DI SAVENA,VIA LERCARO 1,2405011202.0
FUTURA EXPRESS S.A.S. DI SPULZO PASQUALINO & C.,SAN PIETRO IN CASALE,VIA SOARDINA 129/E,2529351203.0
SOCIETA AGRICOLA CASCINA GRANDE S.S.,IMOLA,VIA CHIESA DI MONTECATONE 2,2449401203.0
ROMAGNOLI ALESSANDRO,BOLOGNA,VIA LOMBARDIA 21/2,3473661209.0
BONAMASSA SARAH,CALDERARA DI RENO,VIA UNGHERI 25 A-B,2462801206.0
TAMBURRANO ALESSANDRO,BOLOGNA,VIA DEGLI ORTI 27,3756591206.0
MULTY SERVICE DI PASSERINI DAVIDE,SAN PIETRO IN CASALE,VIA CESARE PAVESE 9/F,3893301204.0
CENTRO CONTABILE*OZZANESE S.N.C. DI RUCCI MASSIMO E BARBERINI VALERIA,OZZANO DELL'EMILIA,VIA EMILIA 166,638861203.0
CARROZZERIA G.D. S.A.S. DI MAMMI MASSIMO & C.,ZOLA PREDOSA,VIA GARIBALDI 19/D,607581204.0
LAMBERTINI ASSICURAZIONI S.N.C. DI MASSIMO E MARA LAMBERTINI,BOLOGNA,VIA SAN FELICE 99,3875710372.0
LA MACELLERIA DI NALDI MASSIMO,BOLOGNA,VIA SERAFINO CALINDRI 6/B,3533561209.0
C.R.O.S.S.S. SRL (COMMERCIO ROTTAMI OFFICINA SERVIZI SOCCORSO STRADALE),IMOLA,VIA SAN VITALE 227/A,3523731200.0
GRENT DI ROSSI GIANLUCA,SASSO MARCONI,VIA DEGLI ANDREANI 21,3328391200.0
3GML DI FAMILY BUSINESS S.R.L. & C. S.A.S.,BOLOGNA,VIA BERTIERA 13,2864741208.0
SOCIETA' AGRICOLA FARNETO DI MONTEBUGNOLI E GALEOTTI S.S.,MONTERENZIO,VIA COLLINA 1,2250831209.0
AZ. AGRICOLA BRUNORA DI MONDINI MASSIMO,IMOLA,VIA DI MORDANO 2,1793911205.0
INSIDE PROMOTION DI CAVALLINA ALESSANDRO,BOLOGNA,VIALE XII GIUGNO 5,2200631204.0
COSTRUZIONI EDILI ESSEGI DI SERRA GIOVANNI,SANT'AGATA BOLOGNESE,VIA VALBONA 3,3355061205.0
ROMY & GIULI DI ROSSETTI GIULIANA E MARIANI MANUELA S.N.C.,DOZZA,VIA SANTI 14,660271206.0
AMADEI MASSIMILIANO,MORDANO,VIA SAN FRANCESCO 2612,2477920397.0
MULTIMUSICA SERVIZI E SPETTACOLI DI VENTURI MASSIMO,MONZUNO,VIA DEL LAGO 5,2813081201.0
GE.ME.DE. S.A.S. DI ROSSINI MARIA E C.,CASTENASO,VIA CARLINA 23,694251208.0
CAPORIVOLTO S.N.C. DI VENTURI ALESSANDRA,BOLOGNA,VIA BEETHOVEN 8,2118361209.0
RUSSO GERMANO,ARGELATO,VIA LARGHE 1/3,2565571201.0
FELIGETTI MASSIMO,OZZANO DELL'EMILIA,VIA DEGLI ORTI 22,3119601205.0
PASSI SOCIETA' COOPERATIVA,BOLOGNA,VIA SCIPIONE INNOCENTI 37,3252781202.0
TRAPASSO DOMENICO,BOLOGNA,VIA JACOPO DI PAOLO 33/2,3678061205.0
G. GRASSILLI DEL DR. GIANNI GRASSILLI,BOLOGNA,VIA CASTIGLIONE 3/A,246380372.0
EFFEGI S.A.S. DI BASSI FRANCESCA E C.,BOLOGNA,VIA CALZOLERIE 1,3101600405.0
CA' DI MATTI DI LAURA LENOCI E MATTIA MALOSSI S. N. C.,GRANAROLO DELL'EMILIA,VIA REGGIANI 11,3124241203.0
TECHNOTISSUE CONSULTING DI LAURA MARCOLINI & C. S.A.S.,SAN LAZZARO DI SAVENA,VIA DEL POZZO 2,3679261200.0
I.T.E.M. DI SCALORBI MASSIMILIANO,MEDICINA,VIA GALISANO 36,4323930372.0
MAX RENT DI MESSINESE MASSIMILIANO,BOLOGNA,VIA ZANARDI 92/4,2506470737.0
AP SERVICE DI PIRRONE ALESSANDRO,PIANORO,VIA CANOVACCIA 15,2664241201.0
PROFUMERIA ABBIGLIAMENTO FOSSOLO DI CAPELLI CRISTINA,BOLOGNA,VIALE FELSINA 35/A,3220251205.0
RAMBALDI MASSIMO,OZZANO DELL'EMILIA,VIA EMILIA 160,378951206.0
DAL FURNER DI PAVAN MASSIMO E GRANDI PAMELA S.N.C.,BOLOGNA,VIA DI CORTICELLA 19,4322120371.0
EUROASIA ENTERPRISE S.N.C. DI HOSSAIN ZABIR E RANA SHAHARIAR & C.,BOLOGNA,VIA PETRONI 3/A,2638861209.0
IL SOLE DI THABET MOHAMED IBRAHIM HUSSEIN,BOLOGNA,VIA MASCARELLA 41,2823001207.0
TRATTORIA LA BASSA S.N.C. DI SIMONE CASSOLI & C.,ANZOLA DELL'EMILIA,VIA DON MINZONI 6,2832771204.0
S.O.S. LUCE DI ROSSETTI MIRKO,BOLOGNA,VIA MISA 45,2413651205.0
IL BRICCO SAS DI ALESSANDRO BULGARELLI E C.,BOLOGNA,VIA DEI CARRETTIERI 20/2,3580951204.0
COMPRAVENDITE IMMOBILIARI DI PUJA ROCCO MASSIMO,BOLOGNA,VIA DEL VERROCCHIO 12/O,2449541206.0
RIBECCO MASSIMILIANO,SAN GIOVANNI IN PERSICETO,VIA ZENERIGOLO 16,2673821209.0
AMEDEA S.A.S. DI ALESSANDRO DE NIGRIS & C.,ZOLA PREDOSA,VIA MINCIO 32,2587361201.0
FARMACIA SAN MAMOLO DEL DOTT.PAOLO BETTINI E DELLA DOTT.SSA CHIARA HYERACI S.N.C.,BOLOGNA,VIA SAN MAMOLO 25/D,4218760371.0
DRAGHETTI ROSSANO,MEDICINA,VIA PILASTRINO 285,141701201.0
MATTIOLI BRUNO DI MATTIOLI MASSIMO,MINERBIO,VIA DI VITTORIO 12,2525191207.0
SOCIETA' AGRICOLA CASSANI DI CASSANI JONATHAN E C. S.S.,MEDICINA,VIA NUOVA 1551/B,3761651201.0
TECNOMEL S.A.S. DI MELETTI ALESSIO & C.,SAN GIOVANNI IN PERSICETO,VIA CADUTI DI BENEDELLO 9,2621981204.0
SOCIETA' AGRICOLA BORTOLAN S.S.,MALALBERGO,VIA NAZIONALE 358,578791204.0
GRASSO FRANCESCO,BOLOGNA,VIA VALLE D'AOSTA 14,2545621209.0
ROSSI GIUSEPPE,CASTENASO,VIA FOGGIANUOVA 7,881301204.0
PALMIERI ALESSANDRO,BOLOGNA,VIA OSSERVANZA 39,4284880376.0
ESSE IMPIANTI DI PONGETTI STEFANO,CALDERARA DI RENO,VIA DELL'ARTIGIANO 112,2210901209.0
TECNOESPANSI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,SAN GIORGIO DI PIANO,VIA VINCA 6,3636251203.0
DESPAIGNE MANRIQUE YUMARA FRANCISCA,BOLOGNA,VIA BARBERIA 22/A,3651081204.0
IR4I CLUSTER TECNOLOGICO AEROSPAZIALE DELL'EMILIA ROMAGNA S.C.AR.L.,MEDICINA,VIA ROSLE' 115,3229451202.0
OFFICINE MACCAFERRI - S.P.A.,BOLOGNA,VIA DEL FAGGIOLO 1/12,2145540379.0
SPADONI PAOLO,MEDICINA,VIA VANNINI ELIA 2,1937981205.0
SAMP S.P.A. IN LIQUIDAZIONE,BENTIVOGLIO,VIA SALICETO 15,283710374.0
GASPARRI S.R.L. IN LIQUIDAZIONE,BOLOGNA,VIA ALBIROLI 10,245850375.0
CAFFITALY SYSTEM S.P.A.,GAGGIO MONTANO,VIA PANIGALI 38-38/A,6114900969.0
ANTICHITA' AL TEATRO DUSE DI SPALLETTA CRISTIANA,BOLOGNA,VIA BELLARIA 28,2007870377.0
GRUPPO DIPIERRI S.P.A.,SAN LAZZARO DI SAVENA,VIA SALVO D'ACQUISTO 1,2277901209.0
AL RISPARMIO DI PAVENTI BRUNELLA,BOLOGNA,VIA SARDEGNA 10/B,2861341200.0
PASTORE & LOMBARDI S.P.A.,GRANAROLO DELL'EMILIA,VIA DON MINZONI 3,3276650375.0
S.E.FIN. S.P.A. SOCIETA' DI INTERMEDIAZIONE MOBILIARE,BOLOGNA,VIA DEL BORGO DI SAN PIETRO 92,4109690372.0
SPAZIO MEDIA S.N.C. DI ANNA PIAZZI E C.,BOLOGNA,VIA PULEGA 7,2738121207.0
MODULI ELETTRONICI E COMPONENTI S.P.A. (IN SIGLA *M.E.C. S.P.A.),BOLOGNA,VIA DELLA SALUTE 34/1,2015140375.0
COESIA FINANCE S.P.A.,BOLOGNA,VIA BATTINDARNO 91,2947561201.0
PARDGROUP SPA,BENTIVOGLIO,VIA CASTAGNOLINO 34/A,3369761204.0
